#
#<?php die('Forbidden.'); ?>
#Date: 2017-08-15 13:11:40 UTC
#Software: Joomla Platform 13.1.0 Stable [ Curiosity ] 24-Apr-2013 00:00 GMT

#Fields: datetime	priority clientip	category	message
2017-08-15T13:11:40+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:11:41+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:21+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
2017-08-15T13:12:24+00:00	ERROR ::1	jfbconnect	JFBConnect requires the CURL PHP extension to be installed and callable.
